Potential name,Number of valence electrons,Valence electron configuration,ENAMX [eV]
H_GW,1,1s1,300
H_h_GW,1,1s1,700
He_GW,2,1s2,404.806
Li_AE_GW,3,1s2 2p1,433.253
Li_GW,1,2s1,112.417
Li_sv_GW,3,1s2 2p1,433.253
Be_GW,2,2s1.9999 2p0.001,247.951
Be_sv_GW,4,1s2 2p2,536.216
B_GW,3,2s2 2p1,318.762
B_GW_new,3,2s2 2p1,318.762
C_GW,4,2s2 2p2,413.992
C_GW_new,4,2s2 2p2,433.894
C_h_GW,4,2s2 2p2,742.464
C_s_GW,4,2s2 2p2,304.668
N_GW,5,2s2 2p3,420.681
N_GW_new,5,2s2 2p3,452.165
N_h_GW,5,2s2 2p3,755.833
N_s_GW,5,2s2 2p3,312.431
O_GW,6,2s2 2p4,414.315
O_GW_new,6,2s2 2p4,466.114
O_h_GW,6,2s2 2p4,765.442
O_s_GW,6,2s2 2p4,334.366
F_GW,7,2s2 2p5,487.335
F_GW_new,7,2s2 2p5,479.919
F_h_GW,7,2s2 2p5,847.822
Ne_GW,8,2s2 2p6,431.952
Ne_s_GW,8,2s2 2p6,317.594
Na_sv_GW,9,2s2 2p6 3p1,372.86
Mg_GW,2,3s2,126.671
Mg_pv_GW,8,2p6 3s2,403.538
Mg_sv_GW,10,2s2 2p6 3d2,430.099
Al_GW,3,3s2 3p1,240.957
Al_sv_GW,11,2s2 2p6 3s2 3p1,411.007
Si_GW,4,3s2 3p2,245.704
Si_sv_GW,12,2s2 2p6 3s2 3p2,546.548
P_GW,5,3s2 3p3,255.155
S_GW,6,3s2 3p4,258.602
Cl_GW,7,3s2 3p5,262.25
Ar_GW,8,3s2 3p6,290.518
K_sv_GW,9,3s2 3p6 3d1,248.606
Ca_sv_GW,10,3s2 3p6 3d2,281.209
Sc_sv_GW,11,3s2 3p6 3d3,378.598
Ti_sv_GW,12,3s2 3p6 3d4,383.48
V_sv_GW,13,3s2 3p6 3d5,382.093
Cr_sv_GW,14,3s2 3p6 3d6,384.753
Mn_GW,7,3d6 4s1,278.537
Mn_sv_GW,15,3s2 3p6 3d7,384.488
Fe_GW,8,3d7 4s1,321.044
Fe_sv_GW,16,3s2 3p6 3d8,387.727
Co_GW,9,3d8 4s1,323.447
Co_sv_GW,17,3s2 3p6 3d9,387.407
Ni_GW,10,3d9 4s1,357.352
Ni_sv_GW,18,3s2 3p6 3d10,389.485
Cu_GW,11,3d10 4s1,417.032
Cu_sv_GW,19,3s2 3p6 3d10 4s1,466.991
Zn_GW,12,3d10 4s2,328.312
Zn_sv_GW,20,3s2 3p6 3d10 4s2,401.745
Ga_GW,3,4s2 4p1,134.8
Ga_d_GW,13,3d10 4s2 4p1,404.723
Ga_sv_GW,21,3s2 3p6 3d10 4s2 4p1,404.723
Ge_GW,4,4s2 4p2,173.969
Ge_d_GW,14,3d10 4s2 4p2,375.614
Ge_sv_GW,22,3s2 3p6 3d10 4s2 4p2,410.604
As_GW,5,4s2 4p3,208.87
As_sv_GW,23,3s2 3p6 3d10 4s2 4p3,415.514
Se_GW,6,4s2 4p4,211.602
Se_sv_GW,24,3s2 3p6 3d10 4s2 4p4,469.258
Br_GW,7,4s2 4p5,216.224
Br_sv_GW,25,3s2 3p6 3d10 4s2 4p5,475.88
Kr_GW,8,4s2 4p6,252.563
Rb_sv_GW,9,4s2 4p6 4d1,220.92
Sr_sv_GW,10,4s2 4p6 4d2,224.532
Y_sv_GW,11,4s2 4p6 4d3,339.94
Zr_sv_GW,12,4s2 4p6 4d4,346.437
Nb_sv_GW,13,4s2 4p6 4d5,353.857
Mo_sv_GW,14,4s2 4p6 4d6,344.65
Tc_sv_GW,15,4s2 4p6 4d7,350.798
Ru_sv_GW,16,4s2 4p6 4d8,347.881
Rh_GW,9,4d8 5s1,247.321
Rh_sv_GW,17,4s2 4p6 4d9,350.989
Pd_GW,10,4d9 5s1,250.832
Pd_sv_GW,18,4s2 4p6 4d10,355.88
Ag_GW,11,4d10 5s1,249.752
Ag_sv_GW,19,4s2 4p6 4d11,354.226
Cd_GW,12,4d10 5s2,253.99
Cd_sv_GW,20,4s2 4p6 4d10 5s2,361.653
In_d_GW,13,4d10 5s2 5p1,278.582
In_sv_GW,21,4s2 4p6 4d10 5s2 5p1,366.636
Sn_d_GW,14,4d10 5s2 5p2,260.086
Sn_sv_GW,22,4s2 4p6 4d10 5s2 5p2,368.704
Sb_GW,5,5s2 5p3,172.301
Sb_d_GW,15,4d10 5s2 5p3,263.147
Sb_sv_GW,23,4s2 4p6 4d10 5s2 5p3,372.498
Te_GW,6,5s2 5p4,175.144
Te_sv_GW,24,4s2 4p6 4d10 5s2 5p4,376.686
I_GW,7,5s2 5p5,175.712
I_sv_GW,25,4s2 4p6 4d10 5s2 5p5,381.757
Xe_GW,8,5s2 5p6,179.528
Xe_sv_GW,26,4s2 4p6 4d10 5s2 5p6,400.581
Cs_sv_GW,9,5s2 5p6 5d1,198.012
Ba_sv_GW,10,5s2 5p6 5d2,237.484
La_GW,11,4f0.2 5s2 5p6 5d0.8 6s2,313.728
Ce_GW,12,4f1 5s2 5p6 5d1 6s2,304.649
Hf_sv_GW,12,5s2 5p6 5d4,308.829
Ta_sv_GW,13,5s2 5p6 5d5,285.798
W_sv_GW,14,5s2 5p6 5d6,316.943
Re_sv_GW,15,5s2 5p6 5d7,316.85
Os_sv_GW,16,5s2 5p6 5d8,319.628
Ir_sv_GW,17,5s2 5p6 5d9,319.708
Pt_GW,10,5d9 6s1,248.657
Pt_sv_GW,18,5s2 5p6 5d10,323.536
Au_GW,11,5d10 6s1,248.263
Au_sv_GW,19,5s2 5p6 5d11,306.52
Hg_sv_GW,20,5s2 5p6 5d10 6s2,311.949
Tl_d_GW,15,5s2 5d10 6s2 6p1,237.001
Tl_sv_GW,21,5s2 5p6 5d10 6s2 6p1,316.502
Pb_d_GW,16,5s2 5d10 6s2 6p2,237.793
Pb_sv_GW,22,5s2 5p6 5d10 6s2 6p2,317.138
Bi_GW,5,6s2 6p3,146.628
Bi_d_GW,17,5s2 5d10 6s2 6p3,261.89
Bi_sv_GW,23,5s2 5p6 5d10 6s2 6p3,323.502
Po_d_GW,18,5s2 5d10 6s2 6p4,267.666
Po_sv_GW,24,5s2 5p6 5d10 6s2 6p4,326.653
At_d_GW,17,5d10 6s2 6p5,266.303
At_sv_GW,25,5s2 5p6 5d10 6s2 6p5,328.597
Rn_d_GW,18,5d10 6s2 6p6,267.397
Rn_sv_GW,26,5s2 5p6 5d10 6s2 6p6,329.841
