Potential name,Number of valence electrons,Valence electron configuration,ENAMX [eV]
H_GW,1,1s1,300
H_GW_new,1,1s1,536.615
H_h_GW,1,1s1,700
He_GW,2,1s2,405.78
Li_AE_GW,3,1s2 2p1,433.699
Li_GW,1,2s1,112.104
Li_sv_GW,3,1s2 2p1,433.699
Be_GW,2,2s1.9999 2p0.001,247.543
Be_sv_GW,4,1s2 2p2,537.454
B_GW,3,2s2 2p1,318.614
B_GW_new,3,2s2 2p1,318.614
B_h_GW,3,2s2 2p1,731.373
C_GW,4,2s2 2p2,413.992
C_GW_new,4,2s2 2p2,433.983
C_h_GW,4,2s2 2p2,741.689
C_s_GW,4,2s2 2p2,304.843
N_GW,5,2s2 2p3,420.902
N_GW_new,5,2s2 2p3,452.633
N_h_GW,5,2s2 2p3,755.582
N_s_GW,5,2s2 2p3,312.986
O_GW,6,2s2 2p4,414.635
O_GW_new,6,2s2 2p4,466.797
O_h_GW,6,2s2 2p4,765.519
O_s_GW,6,2s2 2p4,334.664
F_GW,7,2s2 2p5,487.698
F_GW_new,7,2s2 2p5,480.281
F_h_GW,7,2s2 2p5,848.626
Ne_GW,8,2s2 2p6,432.275
Ne_s_GW,8,2s2 2p6,318.26
Na_sv_GW,9,2s2 2p6 3p1,372.853
Mg_GW,2,3s2,126.143
Mg_pv_GW,8,2p6 3s2,403.929
Mg_sv_GW,10,2s2 2p6 3d2,429.893
Al_GW,3,3s2 3p1,240.3
Al_sv_GW,11,2s2 2p6 3s2 3p1,411.109
Si_GW,4,3s2 3p2,245.345
Si_sv_GW,12,2s2 2p6 3s2 3p2,547.578
P_GW,5,3s2 3p3,255.04
S_GW,6,3s2 3p4,258.689
Cl_GW,7,3s2 3p5,262.472
Ar_GW,8,3s2 3p6,290.599
K_sv_GW,9,3s2 3p6 3d1,248.998
Ca_sv_GW,10,3s2 3p6 3d2,281.43
Sc_sv_GW,11,3s2 3p6 3d3,378.961
Ti_sv_GW,12,3s2 3p6 3d4,383.774
V_sv_GW,13,3s2 3p6 3d5,382.321
Cr_sv_GW,14,3s2 3p6 3d6,384.932
Mn_GW,7,3d6 4s1,278.466
Mn_sv_GW,15,3s2 3p6 3d7,384.627
Fe_GW,8,3d7 4s1,321.007
Fe_sv_GW,16,3s2 3p6 3d8,387.837
Co_GW,9,3d8 4s1,323.4
Co_sv_GW,17,3s2 3p6 3d9,387.491
Ni_GW,10,3d9 4s1,357.323
Ni_sv_GW,18,3s2 3p6 3d10,389.645
Cu_GW,11,3d10 4s1,417.039
Cu_sv_GW,19,3s2 3p6 3d10 4s1,467.331
Zn_GW,12,3d10 4s2,328.191
Zn_sv_GW,20,3s2 3p6 3d10 4s2,401.665
Ga_GW,3,4s2 4p1,134.678
Ga_d_GW,13,3d10 4s2 4p1,404.602
Ga_sv_GW,21,3s2 3p6 3d10 4s2 4p1,404.602
Ge_GW,4,4s2 4p2,173.807
Ge_d_GW,14,3d10 4s2 4p2,375.434
Ge_sv_GW,22,3s2 3p6 3d10 4s2 4p2,410.425
As_GW,5,4s2 4p3,208.702
As_sv_GW,23,3s2 3p6 3d10 4s2 4p3,415.313
Se_GW,6,4s2 4p4,211.555
Se_sv_GW,24,3s2 3p6 3d10 4s2 4p4,469.344
Br_GW,7,4s2 4p5,216.285
Br_sv_GW,25,3s2 3p6 3d10 4s2 4p5,475.692
Kr_GW,8,4s2 4p6,252.232
Rb_sv_GW,9,4s2 4p6 4d1,221.197
Sr_sv_GW,10,4s2 4p6 4d2,224.817
Y_sv_GW,11,4s2 4p6 4d3,339.758
Zr_sv_GW,12,4s2 4p6 4d4,346.364
Nb_sv_GW,13,4s2 4p6 4d5,353.872
Mo_sv_GW,14,4s2 4p6 4d6,344.914
Tc_sv_GW,15,4s2 4p6 4d7,351.044
Ru_sv_GW,16,4s2 4p6 4d8,348.106
Rh_GW,9,4d8 5s1,247.408
Rh_sv_GW,17,4s2 4p6 4d9,351.206
Pd_GW,10,4d9 5s1,250.925
Pd_sv_GW,18,4s2 4p6 4d10,356.093
Ag_GW,11,4d10 5s1,249.844
Ag_sv_GW,19,4s2 4p6 4d11,354.43
Cd_GW,12,4d10 5s2,254.045
